[央视频道],#genre#
CCTV-风云足球,http://171.117.142.71:8082/rtp/226.0.2.225:9712
CCTV-风云足球,http://118.81.49.15:8084/rtp/226.0.2.225:9712
CCTV-风云足球,http://221.205.186.181:5555/rtp/226.0.2.225:9712
CCTV-风云音乐,http://171.117.142.71:8082/rtp/226.0.2.220:9672
CCTV-风云音乐,http://118.81.49.15:8084/rtp/226.0.2.220:9672
CCTV-风云音乐,http://221.205.186.181:5555/rtp/226.0.2.220:9672
CCTV-高尔夫网球,http://118.81.49.15:8084/rtp/226.0.2.217:9648
CCTV-高尔夫网球,http://221.205.186.181:5555/rtp/226.0.2.217:9648
CCTV-高尔夫网球,http://171.117.142.71:8082/rtp/226.0.2.217:9648
CCTV-高尔夫网球,http://116.232.128.210:8888/udp/239.45.1.243:5140

[卫视频道],#genre#
四川卫视,http://110.191.246.220:8888/udp/239.93.0.169:5140
东南卫视,http://118.81.49.15:8084/rtp/226.0.2.188:9416
东南卫视,http://171.117.142.71:8082/rtp/226.0.2.188:9416
东南卫视,http://221.205.186.181:5555/rtp/226.0.2.188:9416
东南卫视,http://125.123.138.149:58888/rtp/233.50.201.146:5140
东南卫视,http://118.112.192.158:4022/udp/239.93.0.42:5140
东南卫视,http://110.191.246.220:8888/udp/239.93.0.42:5140
东南卫视,http://111.192.169.51:8888/rtp/239.3.1.156:8148
东南卫视,http://116.232.128.210:8888/udp/239.45.1.121:5140
东方卫视,http://118.81.49.15:8084/rtp/226.0.2.175:9312
东方卫视,http://171.117.142.71:8082/rtp/226.0.2.175:9312
东方卫视,http://221.205.186.181:5555/rtp/226.0.2.175:9312
东方卫视,http://125.123.138.149:58888/rtp/233.50.201.125:5140
东方卫视,http://116.232.128.210:8888/udp/239.45.3.146:5140
东方卫视,http://111.192.169.51:8888/rtp/239.3.1.136:8032
东方卫视,http://118.112.192.158:4022/udp/239.93.0.123:5140
东方卫视,http://110.191.246.220:8888/udp/239.93.0.123:5140
北京卫视,http://111.192.169.51:8888/rtp/239.3.1.241:8000
北京卫视,http://118.81.49.15:8084/rtp/226.0.2.177:9328
北京卫视,http://171.117.142.71:8082/rtp/226.0.2.177:9328
北京卫视,http://221.205.186.181:5555/rtp/226.0.2.177:9328
北京卫视,http://116.232.128.210:8888/udp/239.45.3.229:5140
北京卫视,http://125.123.138.149:58888/rtp/233.50.201.107:5140
北京卫视,http://110.191.246.220:8888/udp/239.93.0.180:5140
北京卫视,http://118.112.192.158:4022/udp/239.93.0.180:5140
